event_id,origin_time,qlat,qlon,qdep,qmag,qmagtype
10045460,2017-03-30 11:49:13.960,33.241,-116.055333,4.89,1.92,Ml
10045766,2017-03-31 02:16:39.950,33.232667,-116.108167,10.77,1.76,Ml
10046141,2017-04-01 09:35:38.290,33.034167,-115.568333,7.02,1.59,Ml
10046145,2017-04-01 10:21:45.470,33.145833,-116.004333,8.09,2.59,Ml
10046191,2017-04-01 17:23:54.630,33.0415,-115.587,9.3,1.81,Ml
10046321,2017-04-02 11:41:32.760,33.226833,-116.068667,9.42,2.04,Ml
10046745,2017-03-31 15:26:05.750,33.034333,-115.599,5.31,1.98,Ml
10046747,2017-03-31 15:36:16.900,33.029333,-115.586667,5.31,1.64,Ml
10046852,2017-04-01 02:41:02.320,33.033333,-115.595167,4.49,1.67,Ml
10046916,2017-04-04 01:44:36.760,33.162833,-115.657167,2.86,2.3,Ml
10046918,2017-04-04 01:46:54.980,33.1635,-115.657,3.37,1.9,Ml
10046924,2017-04-04 02:01:40.060,33.165167,-115.6545,3.13,2.12,Ml
10046942,2017-04-04 04:25:16.240,33.173,-115.6495,3.82,1.49,Ml
10046944,2017-04-04 04:25:48.640,33.173333,-115.648833,3.16,1.55,Ml
10047054,2017-04-04 01:47:36.490,33.1675,-115.652333,3.46,2.09,Ml
10047180,2017-04-05 04:45:31.840,33.300667,-115.683333,6.39,1.73,Ml
10047588,2017-04-06 17:51:28.130,33.077667,-116.033333,9.03,1.53,Ml
10047779,2017-04-07 02:43:11.110,33.078,-116.0345,10.06,2.05,Ml
10047824,2017-04-07 07:49:10.930,33.165333,-115.654667,2.89,1.45,Ml
10048372,2017-04-09 12:46:35.460,33.0655,-115.549,12.11,1.67,Ml
10048391,2017-04-09 15:44:39.710,33.243,-116.055333,5.47,1.55,Ml
10048636,2017-04-10 17:12:45.930,32.915333,-115.532167,7.84,1.63,Ml
10049319,2017-04-12 12:44:57.280,33.0825,-115.597167,10.11,1.46,Ml
10049532,2017-04-13 03:31:28.350,33.138833,-115.950833,10.46,1.72,Ml
10049577,2017-04-13 09:23:47.000,33.224167,-115.661167,1.72,2.0,Ml
10049946,2017-04-14 09:21:54.920,32.912667,-115.495333,9.07,1.95,Ml
10051233,2017-04-17 12:16:28.720,33.190167,-116.009833,3.6,2.06,Ml
10091626,2017-04-23 03:17:20.650,33.189833,-116.006833,8.88,2.1,Ml
10091680,2017-04-23 10:18:13.920,33.2765,-116.01,3.07,2.23,Ml
10100574,2017-04-25 09:32:22.210,33.042333,-115.915667,5.26,1.57,Ml
10101056,2017-04-26 07:49:26.600,33.123,-115.594667,8.26,1.63,Ml
10101177,2017-04-26 18:32:42.600,33.166333,-115.636167,4.59,1.56,Ml
10118141,2017-04-30 02:46:43.400,33.000833,-115.5685,5.66,1.46,Ml
10153549,2017-05-03 22:27:39.300,33.042333,-115.916667,4.37,1.77,Ml
10154680,2017-05-06 10:44:02.940,33.19,-115.999167,5.12,1.65,Ml
10155131,2017-05-08 11:37:58.970,33.144167,-115.608,9.33,1.66,Ml
10156528,2017-05-11 19:48:49.770,33.179,-116.006,6.68,1.68,Ml
10156790,2017-05-12 08:01:00.940,32.9315,-115.8345,5.52,1.57,Ml
10157323,2017-05-14 03:21:07.920,33.121667,-116.078667,9.78,2.87,Ml
10157783,2017-05-15 06:36:14.870,33.048333,-116.029167,9.34,1.47,Ml
10157938,2017-05-13 01:53:20.130,32.968833,-115.885333,10.62,1.47,Ml
10158386,2017-05-17 05:25:51.350,33.056333,-115.566167,10.2,2.03,Ml
10158389,2017-05-17 05:31:39.310,33.174667,-116.021167,7.56,1.4,Ml
10158842,2017-05-18 21:19:42.220,33.136333,-115.966667,8.76,1.54,Ml
10160414,2017-05-23 15:03:03.190,33.3345,-115.717333,5.48,1.42,Ml
10162413,2017-05-27 14:44:32.190,33.238167,-116.099167,10.26,1.39,Ml
10162550,2017-05-28 05:04:47.590,33.205,-115.616833,3.47,1.81,Ml
10162598,2017-05-28 11:51:38.530,33.178667,-116.007833,5.84,1.49,Ml
10162630,2017-05-28 15:36:26.970,32.966333,-115.8875,7.59,1.89,Ml
